run,iteration,fitness,sure_generated
14,23,0.00015901630104053766,0
15,23,9.598463293514214e-06,0
16,23,4.163343692198396e-05,0
17,23,0.06291932612657547,0
18,23,6.486505753855454e-06,0
19,23,1.701333894743584e-05,0
20,23,8.243604497693013e-06,0
21,23,0.00010695255332393572,0
22,23,5.798687561764382e-05,0
23,23,1.935859108925797e-05,0
24,23,3.715242928592488e-05,0
25,23,2.0295052308938466e-05,0
26,23,8.083038846962154e-05,0
27,23,1.8693404854275286e-05,0
28,23,0.05280988663434982,0
29,23,4.1789779061218724e-05,0
30,23,8.074732249951921e-06,0
1,24,0.0001300282747251913,0
2,24,1.8822127458406612e-05,0
3,24,1.8836719391401857e-05,0
4,24,1.2078472536813933e-05,0
5,24,1.202914700115798e-05,0
6,24,0.0015161051414906979,0
7,24,2.8273607313167304e-05,0
8,24,9.60384750214871e-06,0
9,24,2.411904233667883e-06,0
10,24,1.350598358840216e-05,0
11,24,1.9031032934435643e-05,0
12,24,3.0126524507068098e-05,0
13,24,2.9309161618584767e-05,0
14,24,6.705511623295024e-05,0
15,24,6.7548712650022935e-06,0
16,24,2.123622653016355e-05,0
17,24,0.08951152861118317,0
18,24,2.5272147468058392e-06,0
19,24,2.4696528271306306e-05,0
20,24,6.949429007363506e-06,0
21,24,4.873466241406277e-05,0
22,24,5.592202069237828e-05,0
23,24,4.064595850650221e-05,0
24,24,3.129048491246067e-05,0
25,24,1.2208024600113276e-05,0
26,24,3.861562072415836e-05,0
27,24,2.4861099518602714e-05,0
28,24,0.050639498978853226,0
29,24,4.2759689677041024e-05,0
30,24,1.9316748876008205e-05,0
1,25,8.464746497338638e-05,0
2,25,2.6148460165131837e-05,0
3,25,3.1923245842335746e-05,0
4,25,1.930577855091542e-05,0
5,25,4.499588976614177e-05,0
6,25,5.789697297586827e-06,0
7,25,3.4021108149318025e-05,0
8,25,1.1055344657506794e-05,0
9,25,8.05526906333398e-06,0
10,25,1.6883819625945762e-05,0
11,25,1.8053378880722448e-05,0
12,25,4.0430171793559566e-05,0
13,25,5.721697743865661e-05,0
14,25,8.614664693595842e-05,0
15,25,6.436175681301393e-06,0
16,25,1.6525949831702746e-05,0
17,25,0.07344105839729309,0
18,25,2.4281309379148297e-05,0
19,25,1.142029395850841e-05,0
20,25,7.437707154167583e-06,0
21,25,4.744605394080281e-05,0
22,25,3.77999349439051e-05,0
23,25,1.3053429938736372e-05,0
24,25,1.0360593023506226e-06,0
25,25,2.0526254957076162e-05,0
26,25,7.340258889598772e-05,0
27,25,2.6437897759024054e-05,0
28,25,0.05284672975540161,0
29,25,0.00011133740918012336,0
30,25,1.6775309632066637e-05,0
1,26,0.00011919786629732698,0
2,26,1.0059062333311886e-05,0
3,26,2.3064316337695345e-05,0
4,26,2.2700151021126658e-05,0
5,26,1.4642741916759405e-05,0
6,26,1.758416328812018e-05,0
7,26,3.209535498172045e-05,0
8,26,1.3986154044687282e-05,0
9,26,2.6747831725515425e-05,0
10,26,3.096502769039944e-05,0
11,26,2.136556213372387e-05,0
12,26,1.8565382561064325e-05,0
13,26,5.096146196592599e-05,0
14,26,0.00021672234288416803,0
15,26,1.1673389963107184e-05,0
16,26,3.418809865252115e-05,0
17,26,0.061224475502967834,0
18,26,1.014220015349565e-05,0
19,26,2.5150276997010224e-05,0
20,26,8.129371053655632e-06,0
21,26,4.0997107134899125e-05,0
22,26,5.2139032050035894e-05,0
23,26,3.2758511224528775e-05,0
24,26,1.9716700990102254e-05,0
25,26,1.4175947399053257e-05,0
26,26,7.20164825906977e-05,0
